text,edit_history_tweet_ids,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
"@EzNooh19270 Hi there, can you confirm if you are still able to access your account? Keep us posted.",['1976747598863077460'],2025-10-10 20:32:08+00:00,1976747598863077460,0,1,1,0,0,22,1,0,20
@royal80381 Got it. We'd like to move this conversation to DM. Please follow us and let us know when you have so we can share next steps.,['1976735494361797090'],2025-10-10 19:44:02+00:00,1976735494361797090,0,0,0,0,0,26,0,0,19
"@royal80381 Hmm, have you already tried recovering your account using the steps here: https://t.co/5DgrZkT83a? Additionally, these tips might help: https://t.co/vQSZijYFh6. If you still have questions, let us know.",['1976732342866657681'],2025-10-10 19:31:31+00:00,1976732342866657681,0,1,0,0,0,34,0,0,19
"@royal80381 Hi there, can you confirm if you are still able to access your account? Keep us posted.",['1976730837916754322'],2025-10-10 19:25:32+00:00,1976730837916754322,0,1,0,0,0,26,0,0,19
"@YnRsKZzW6Z8jxyu Hi there, can you confirm if you are still able to access your account? Keep us posted.",['1976728892271468592'],2025-10-10 19:17:48+00:00,1976728892271468592,0,1,0,0,0,38,0,0,19
"@BhaiyaJiUPWalee Hi there. You can skip that step using ""Try another way"" but we suggest answering all questions as best as you can. Keep us posted.",['1976727483668988044'],2025-10-10 19:12:12+00:00,1976727483668988044,0,2,1,0,0,40,1,0,19
@EdgonL55949 Hmm. Let's see what we can do to help. Look out for a DM with next steps.,['1976726838127849781'],2025-10-10 19:09:38+00:00,1976726838127849781,0,0,0,0,0,16,0,0,19
@paarrthh @paarrthh Hi Parth. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,['1976721584598421579'],2025-10-10 18:48:46+00:00,1976721584598421579,0,0,1,0,0,22,1,0,18
@myasir0585 Hmm. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,['1976717211294179655'],2025-10-10 18:31:23+00:00,1976717211294179655,0,0,0,0,0,23,0,0,18
@rishuHateAirtel @rishuHateAirtel Got it. Let's see what we can do to help. Look out for a DM with next steps.,['1976715078968680520'],2025-10-10 18:22:55+00:00,1976715078968680520,0,0,0,0,0,19,0,0,18
@legless_dancer Hi Vinod. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,['1976712821686559001'],2025-10-10 18:13:56+00:00,1976712821686559001,0,2,1,1,0,72,1,0,18
@AnkitaMish57748 Hi Ankita. Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,['1976712646436012039'],2025-10-10 18:13:15+00:00,1976712646436012039,0,1,1,0,0,66,1,0,18
"@XoX4eve Hi there. You can skip that step using ""Try another way"" but we suggest answering all questions as best as you can.
Keep us posted.",['1976706704977858774'],2025-10-10 17:49:38+00:00,1976706704977858774,0,2,0,0,0,38,0,0,17
@NandanK0679147 Hmm. We've sent you a DM with the next steps. Please check and let us know if you have any questions.,['1976697807160344963'],2025-10-10 17:14:17+00:00,1976697807160344963,0,1,0,0,0,25,0,0,17
