id,created_at,edit_history_tweet_ids,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
1968573211567665157,2025-09-18 07:10:02+00:00,['1968573211567665157'],"🔵💫 Enzo Maresca: “I have the feeling that we can build something special from this defeat against Bayern”.

“We can learn a lot from this game. But we show we can compete, always”. https://t.co/RbZV8lLicv",2555,1196,41213,255,253,1355545,41213,2555,7
1968572287948386762,2025-09-18 07:06:22+00:00,['1968572287948386762'],"🔴🇸🇪 Arne Slot: “Isak seemed to be quite fit to me. That was the most positive thing”.

“He was fitter than I expected… he’s not ready for three games a week yet”. https://t.co/O4VmGRrAd2",1750,554,41946,25,206,1416234,41946,1750,7
1968569990866510202,2025-09-18 06:57:14+00:00,['1968569990866510202'],"🚨🇩🇪 Arne Slot: “You can see Florian Wirtz is getting fitter and fitter and adjusting to us”.

“People forget that he’s 22 years old”. https://t.co/isoITsrgv7",3266,1711,87673,620,526,3260987,87673,3266,6
1968443790403723403,2025-09-17 22:35:46+00:00,['1968443790403723403'],"🚨🦅 BREAKING: José Mourinho to Benfica, here we go! Verbal agreement until June 2027.

Mourinho has accepted Benfica proposal and the formal steps will follow in next 24h.

Two year contract ready for the Special One as Benfica coach. ❤️🤍 https://t.co/7ZUadcEr5e",13609,3785,154125,2885,2262,12923120,154125,13609,22
1968419452204036468,2025-09-17 20:59:03+00:00,['1968419452204036468'],"One more late win for Liverpool! 🤯

Who’s been your Man of the Match? https://t.co/oy7I2Eisqo",2958,1345,49232,194,267,1723444,49232,2958,20
1968418883380932788,2025-09-17 20:56:47+00:00,['1968418883380932788'],"Massive win for Bayern! ❤️🤍

Who’s your Man of the Match? https://t.co/xh8tuEut5h",1710,1132,28565,152,129,1360611,28565,1710,20
1968418312938774898,2025-09-17 20:54:31+00:00,['1968418312938774898'],Big win for PSG! Who’s been your Man of the Match? ✨ https://t.co/tU6vhTPNAb,847,450,20892,28,84,1094599,20892,847,20
1968418107287896118,2025-09-17 20:53:42+00:00,['1968418107287896118'],Inter beat Ajax! Who’s your Man of the Match? 🏅 https://t.co/lsaet3Yn6v,1415,551,36634,79,83,1252150,36634,1415,20
1968412372533449186,2025-09-17 20:30:55+00:00,['1968412372533449186'],❤️🤍🤖 Harry Kane has already reached 10 goals this season after brace tonight vs Chelsea! https://t.co/SA5IrnSrNF,2608,873,55246,366,198,4699071,55246,2608,20
1968370938619281472,2025-09-17 17:46:16+00:00,['1968370938619281472'],🚨🇸🇪 Alexander Isak starts for the first time as new Liverpool player! 🔛 https://t.co/eOroQFjE0R,3361,1018,77259,264,341,3932222,77259,3361,17
1968369960901906534,2025-09-17 17:42:23+00:00,['1968369960901906534'],"🚨 Hansi Flick: “Lamine Yamal? He’s unlikely to play this weekend as well”.

“I don’t think we should put pressure on him. We have a fantastic medical staff. We’ll see how he progresses. If he comes back, it’s to be at one hundred percent”. https://t.co/biLEOtPHNG",1916,583,40533,92,232,1868775,40533,1916,17
